Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
GREATWALL,The Great Wall,UNESCO World Heritage Site (Cultural),"Beijing, Hebei, Shanxi, Inner Mongolia, Shaanxi, Gansu, Liaoning, Shandong, Henan, Ningxia, Xinjiang",40.4319,116.5704,The Great Wall - UNESCO World Heritage Site. Ancient fortification system built to protect Chinese states and empires from invasions.,https://whc.unesco.org/en/list/438,China,1987
FORBIDDEN,Imperial Palaces of the Ming and Qing Dynasties,UNESCO World Heritage Site (Cultural),"Beijing, Liaoning",39.9163,116.3972,"Forbidden City - UNESCO World Heritage Site. Imperial palace complex in Beijing, home to emperors for nearly 500 years.",https://whc.unesco.org/en/list/439,China,1987
TERRACOTTA,Mausoleum of the First Qin Emperor,UNESCO World Heritage Site (Cultural),Shaanxi,34.3853,109.2789,Terracotta Army - UNESCO World Heritage Site. Collection of terracotta sculptures depicting the armies of Qin Shi Huang.,https://whc.unesco.org/en/list/441,China,1987
MOGAO,Mogao Caves,UNESCO World Heritage Site (Cultural),Gansu,40.0378,94.8031,"Mogao Caves - UNESCO World Heritage Site. System of 492 temples with Buddhist art spanning 1,000 years.",https://whc.unesco.org/en/list/440,China,1987
POTALA,Historic Ensemble of the Potala Palace,UNESCO World Heritage Site (Cultural),Tibet,29.6578,91.1169,Potala Palace - UNESCO World Heritage Site. Former residence of the Dalai Lama and important Buddhist site.,https://whc.unesco.org/en/list/707,China,1994
SUMMER,Summer Palace,UNESCO World Heritage Site (Cultural),Beijing,39.9994,116.2750,"Summer Palace - UNESCO World Heritage Site. Imperial garden in Beijing with lakes, gardens, and palaces.",https://whc.unesco.org/en/list/880,China,1998
TEMPLEHEAVEN,Temple of Heaven,UNESCO World Heritage Site (Cultural),Beijing,39.8822,116.4067,Temple of Heaven - UNESCO World Heritage Site. Imperial complex of religious buildings where emperors prayed for good harvests.,https://whc.unesco.org/en/list/881,China,1998
LONGMEN,Longmen Grottoes,UNESCO World Heritage Site (Cultural),Henan,34.5567,112.4706,"Longmen Grottoes - UNESCO World Heritage Site. Buddhist cave art with over 100,000 statues carved into limestone cliffs.",https://whc.unesco.org/en/list/1003,China,2000
YUNGANG,Yungang Grottoes,UNESCO World Heritage Site (Cultural),Shanxi,40.1097,113.1208,"Yungang Grottoes - UNESCO World Heritage Site. Ancient Buddhist temple grottoes with over 51,000 statues.",https://whc.unesco.org/en/list/1039,China,2001
OLDCITY,Old Town of Lijiang,UNESCO World Heritage Site (Cultural),Yunnan,26.8700,100.2333,Old Town of Lijiang - UNESCO World Heritage Site. Ancient town with unique Naxi architecture and culture.,https://whc.unesco.org/en/list/811,China,1997
PINGYAO,Ancient City of Ping Yao,UNESCO World Heritage Site (Cultural),Shanxi,37.2000,112.1833,Ancient City of Ping Yao - UNESCO World Heritage Site. Well-preserved ancient walled city from Ming and Qing dynasties.,https://whc.unesco.org/en/list/812,China,1997
CLASSIC,Classical Gardens of Suzhou,UNESCO World Heritage Site (Cultural),Jiangsu,31.3167,120.6167,Classical Gardens of Suzhou - UNESCO World Heritage Site. Collection of Chinese classical gardens representing garden design.,https://whc.unesco.org/en/list/813,China,1997
WUTAI,Mount Wutai,UNESCO World Heritage Site (Cultural),Shanxi,39.0333,113.5833,Mount Wutai - UNESCO World Heritage Site. Sacred Buddhist mountain with ancient temples and monasteries.,https://whc.unesco.org/en/list/1279,China,2009
HISTORIC,Historic Centre of Macau,UNESCO World Heritage Site (Cultural),Macau,22.1983,113.5439,Historic Centre of Macau - UNESCO World Heritage Site. Blend of Chinese and Portuguese architecture and culture.,https://whc.unesco.org/en/list/1110,China,2005
YINXU,Yin Xu,UNESCO World Heritage Site (Cultural),Henan,36.1200,114.3200,Yin Xu - UNESCO World Heritage Site. Archaeological site of the ancient capital of the Shang Dynasty.,https://whc.unesco.org/en/list/1114,China,2006
MOUNTTAI,Mount Taishan,UNESCO World Heritage Site (Mixed),Shandong,36.2500,117.1000,Mount Taishan - UNESCO World Heritage Site. Sacred mountain with cultural and natural significance.,https://whc.unesco.org/en/list/437,China,1987
HUANGSHAN,Mount Huangshan,UNESCO World Heritage Site (Mixed),Anhui,30.1333,118.1667,"Mount Huangshan - UNESCO World Heritage Site. Famous for its scenery, sunsets, and granite peaks.",https://whc.unesco.org/en/list/547,China,1990
JIUZHAIGOU,Jiuzhaigou Valley,UNESCO World Heritage Site (Natural),Sichuan,33.2000,103.9000,"Jiuzhaigou Valley - UNESCO World Heritage Site. Scenic area with colorful lakes, waterfalls, and snow-capped peaks.",https://whc.unesco.org/en/list/637,China,1992
WULINGYUAN,Wulingyuan Scenic Area,UNESCO World Heritage Site (Natural),Hunan,29.3167,110.4333,Wulingyuan Scenic Area - UNESCO World Heritage Site. Spectacular quartzite sandstone pillars and natural bridges.,https://whc.unesco.org/en/list/640,China,1992
PANDAS,Sichuan Giant Panda Sanctuaries,UNESCO World Heritage Site (Natural),Sichuan,30.8333,103.0000,Sichuan Giant Panda Sanctuaries - UNESCO World Heritage Site. Home to more than 30% of the world's giant pandas.,https://whc.unesco.org/en/list/1213,China,2006
