Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
KAZ,Kaziranga National Park,UNESCO World Heritage Site (Natural),Assam,26.6000,93.4167,Kaziranga National Park - UNESCO World Heritage Site. Home to the world's largest population of one-horned rhinoceroses.,https://whc.unesco.org/en/list/337,India,1985
MAN,Manas Wildlife Sanctuary,UNESCO World Heritage Site (Natural),Assam,26.7167,91.0167,Manas Wildlife Sanctuary - UNESCO World Heritage Site. Important tiger and elephant reserve.,https://whc.unesco.org/en/list/338,India,1985
KEO,Keoladeo National Park,UNESCO World Heritage Site (Natural),Rajasthan,27.1667,77.5167,Keoladeo National Park (Bharatpur Bird Sanctuary) - UNESCO World Heritage Site. Important bird sanctuary.,https://whc.unesco.org/en/list/340,India,1985
SUN,Sundarbans National Park,UNESCO World Heritage Site (Natural),West Bengal,21.9500,88.9000,"Sundarbans National Park - UNESCO World Heritage Site. Largest mangrove forest in the world, home to Bengal tigers.",https://whc.unesco.org/en/list/452,India,1987
NAN,Nanda Devi and Valley of Flowers National Parks,UNESCO World Heritage Site (Natural),Uttarakhand,30.4167,79.5833,Nanda Devi and Valley of Flowers National Parks - UNESCO World Heritage Site. Alpine meadows and high-altitude ecosystems.,https://whc.unesco.org/en/list/335,India,1988
WES,Western Ghats,UNESCO World Heritage Site (Natural),"Karnataka, Kerala, Tamil Nadu, Maharashtra",12.0000,76.0000,"Western Ghats - UNESCO World Heritage Site. One of the world's eight ""hottest hotspots"" of biological diversity.",https://whc.unesco.org/en/list/1342,India,2012
GRE,Great Himalayan National Park,UNESCO World Heritage Site (Natural),Himachal Pradesh,31.7333,77.4333,Great Himalayan National Park - UNESCO World Heritage Site. High-altitude alpine ecosystems.,https://whc.unesco.org/en/list/1406,India,2014
KAN,Khangchendzonga National Park,UNESCO World Heritage Site (Mixed),Sikkim,27.6667,88.3000,Khangchendzonga National Park - UNESCO World Heritage Site. Mixed cultural and natural heritage site.,https://whc.unesco.org/en/list/1513,India,2016
TAJ,Taj Mahal,UNESCO World Heritage Site (Cultural),Uttar Pradesh,27.1751,78.0421,"Taj Mahal - UNESCO World Heritage Site. Iconic marble mausoleum, one of the New Seven Wonders of the World.",https://whc.unesco.org/en/list/252,India,1983
AGF,Agra Fort,UNESCO World Heritage Site (Cultural),Uttar Pradesh,27.1797,78.0211,Agra Fort - UNESCO World Heritage Site. Mughal fortress and palace complex.,https://whc.unesco.org/en/list/251,India,1983
AJT,Ajanta Caves,UNESCO World Heritage Site (Cultural),Maharashtra,20.5519,75.7033,Ajanta Caves - UNESCO World Heritage Site. Ancient Buddhist rock-cut cave monuments with paintings.,https://whc.unesco.org/en/list/242,India,1983
ELL,Ellora Caves,UNESCO World Heritage Site (Cultural),Maharashtra,20.0264,75.1792,"Ellora Caves - UNESCO World Heritage Site. Rock-cut cave temples representing Buddhist, Hindu, and Jain art.",https://whc.unesco.org/en/list/243,India,1983
KON,"Sun Temple, Konarak",UNESCO World Heritage Site (Cultural),Odisha,19.8875,86.0947,"Sun Temple, Konarak - UNESCO World Heritage Site. 13th-century temple dedicated to the sun god.",https://whc.unesco.org/en/list/246,India,1984
MAH,Group of Monuments at Mahabalipuram,UNESCO World Heritage Site (Cultural),Tamil Nadu,12.6167,80.1917,Group of Monuments at Mahabalipuram - UNESCO World Heritage Site. 7th-8th century rock-cut temples and sculptures.,https://whc.unesco.org/en/list/249,India,1984
KHA,Khajuraho Group of Monuments,UNESCO World Heritage Site (Cultural),Madhya Pradesh,24.8522,79.9194,Khajuraho Group of Monuments - UNESCO World Heritage Site. Medieval Hindu and Jain temples with intricate sculptures.,https://whc.unesco.org/en/list/240,India,1986
HAP,Hampi,UNESCO World Heritage Site (Cultural),Karnataka,15.3350,76.4600,Group of Monuments at Hampi - UNESCO World Heritage Site. Ruins of the Vijayanagara Empire capital.,https://whc.unesco.org/en/list/241,India,1986
