Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
PERSEPOLIS,Persepolis,UNESCO World Heritage Site (Cultural),Fars,29.9353,52.8903,"Persepolis - UNESCO World Heritage Site. Ancient ceremonial capital of the Achaemenid Empire, founded by Darius I in 518 BCE.",https://whc.unesco.org/en/list/114,Iran,1979
CHOGHAZANBIL,Tchogha Zanbil,UNESCO World Heritage Site (Cultural),Khuzestan,32.0833,48.5167,"Tchogha Zanbil - UNESCO World Heritage Site. Ancient Elamite complex with the best-preserved ziggurat in the world.",https://whc.unesco.org/en/list/113,Iran,1979
NAQSH,Naqsh-e Jahan Square,UNESCO World Heritage Site (Cultural),Isfahan,32.6575,51.6775,"Naqsh-e Jahan Square - UNESCO World Heritage Site. Historic square in Isfahan surrounded by Safavid architecture.",https://whc.unesco.org/en/list/115,Iran,1979
TAKHTE,Persian Gardens,UNESCO World Heritage Site (Cultural),"Fars, Isfahan, Kerman, Mazandaran, Yazd",29.9353,52.8903,"The Persian Garden - UNESCO World Heritage Site. Nine gardens representing the diversity of Persian garden design.",https://whc.unesco.org/en/list/1372,Iran,2011
GONBAD,Gonbad-e Qabus,UNESCO World Heritage Site (Cultural),Golestan,37.2581,55.1714,"Gonbad-e Qabus - UNESCO World Heritage Site. 53-meter high brick tower built in 1006 CE, the only remaining evidence of Jorjan.",https://whc.unesco.org/en/list/1398,Iran,2012
BAM,Citadel of Bam,UNESCO World Heritage Site (Cultural),Kerman,29.1069,58.3619,"Bam and its Cultural Landscape - UNESCO World Heritage Site. Ancient citadel and largest adobe building in the world.",https://whc.unesco.org/en/list/1208,Iran,2004
PASARGADAE,Pasargadae,UNESCO World Heritage Site (Cultural),Fars,30.2000,53.1792,"Pasargadae - UNESCO World Heritage Site. First capital of the Achaemenid Empire, founded by Cyrus the Great.",https://whc.unesco.org/en/list/1106,Iran,2004
SOLTANIYE,Dome of Soltaniyeh,UNESCO World Heritage Site (Cultural),Zanjan,36.4350,48.7944,"Soltaniyeh - UNESCO World Heritage Site. Mausoleum of Oljaytu with the third largest dome in the world.",https://whc.unesco.org/en/list/1188,Iran,2005
BISOTUN,Bisotun,UNESCO World Heritage Site (Cultural),Kermanshah,34.3881,47.4378,"Bisotun - UNESCO World Heritage Site. Ancient inscription and relief carved into a cliff face by Darius the Great.",https://whc.unesco.org/en/list/1222,Iran,2006
ARMENIAN,Armenian Monastic Ensembles of Iran,UNESCO World Heritage Site (Cultural),"West Azerbaijan, East Azerbaijan",38.9781,45.4731,"Armenian Monastic Ensembles of Iran - UNESCO World Heritage Site. Three Armenian churches established between the 7th and 16th centuries.",https://whc.unesco.org/en/list/1262,Iran,2008
SHUSHTAR,Shushtar Historical Hydraulic System,UNESCO World Heritage Site (Cultural),Khuzestan,32.0500,48.8500,"Shushtar Historical Hydraulic System - UNESCO World Heritage Site. Complex irrigation system dating back to the 5th century BCE.",https://whc.unesco.org/en/list/1315,Iran,2009
SHEIKH,Sheikh Safi al-din Khānegāh and Shrine Ensemble,UNESCO World Heritage Site (Cultural),Ardabil,38.2481,48.2931,"Sheikh Safi al-din Khānegāh and Shrine Ensemble - UNESCO World Heritage Site. Sufi spiritual retreat and shrine complex.",https://whc.unesco.org/en/list/1345,Iran,2010
TABRIZ,Historic Bazaar of Tabriz,UNESCO World Heritage Site (Cultural),East Azerbaijan,38.0814,46.3006,"Tabriz Historic Bazaar Complex - UNESCO World Heritage Site. One of the oldest and largest covered bazaars in the Middle East.",https://whc.unesco.org/en/list/1346,Iran,2010
MASJED,Jameh Mosque of Isfahan,UNESCO World Heritage Site (Cultural),Isfahan,32.6706,51.6850,"Masjed-e Jāmé of Isfahan - UNESCO World Heritage Site. Grand congregational mosque representing over 1,200 years of Islamic architecture.",https://whc.unesco.org/en/list/1397,Iran,2012
GOLESTAN,Golestan Palace,UNESCO World Heritage Site (Cultural),Tehran,35.6800,51.4200,"Golestan Palace - UNESCO World Heritage Site. Royal complex of the Qajar dynasty in Tehran.",https://whc.unesco.org/en/list/1422,Iran,2013
SHUSHTAR2,Susa,UNESCO World Heritage Site (Cultural),Khuzestan,32.1900,48.2500,"Susa - UNESCO World Heritage Site. Ancient city with a history dating back to the 5th millennium BCE.",https://whc.unesco.org/en/list/1455,Iran,2015
MAYMAND,Cultural Landscape of Maymand,UNESCO World Heritage Site (Cultural),Kerman,30.1667,55.3667,"Cultural Landscape of Maymand - UNESCO World Heritage Site. Village with troglodytic dwellings reflecting semi-nomadic agro-pastoralist culture.",https://whc.unesco.org/en/list/1423,Iran,2015
LUT,Lut Desert,UNESCO World Heritage Site (Natural),Kerman,30.0000,58.0000,"Lut Desert - UNESCO World Heritage Site. One of the hottest places on Earth with unique geological formations.",https://whc.unesco.org/en/list/1505,Iran,2016
YAZD,Historic City of Yazd,UNESCO World Heritage Site (Cultural),Yazd,31.8972,54.3678,"Historic City of Yazd - UNESCO World Heritage Site. Traditional earthen architecture and qanat system in the desert.",https://whc.unesco.org/en/list/1544,Iran,2017
SASSANID,Sassanid Archaeological Landscape,UNESCO World Heritage Site (Cultural),Fars,29.9353,52.8903,"Sassanid Archaeological Landscape of Fars Region - UNESCO World Heritage Site. Eight archaeological sites from the Sassanid Empire.",https://whc.unesco.org/en/list/1568,Iran,2018
HYRCANIAN,Hyrcanian Forests,UNESCO World Heritage Site (Natural),"Gilan, Mazandaran, Golestan",36.5000,51.0000,"Hyrcanian Forests - UNESCO World Heritage Site. Ancient forest ecosystem dating back 25-50 million years.",https://whc.unesco.org/en/list/1584,Iran,2019
HAWRAMAN,Cultural Landscape of Hawraman/Uramanat,UNESCO World Heritage Site (Cultural),Kurdistan,35.2500,46.5000,"Cultural Landscape of Hawraman/Uramanat - UNESCO World Heritage Site. Remote mountainous region with stepped villages.",https://whc.unesco.org/en/list/1647,Iran,2021
TRANSIRANIAN,Trans-Iranian Railway,UNESCO World Heritage Site (Cultural),"Mazandaran, Tehran, Isfahan, Khuzestan",35.6800,51.4200,"Trans-Iranian Railway - UNESCO World Heritage Site. Engineering marvel connecting the Caspian Sea to the Persian Gulf.",https://whc.unesco.org/en/list/1585,Iran,2021
PERSIANQANAT,The Persian Qanat,UNESCO World Heritage Site (Cultural),"Razavi Khorasan, South Khorasan, Yazd, Kerman, Markazi, Isfahan",32.6706,51.6850,"The Persian Qanat - UNESCO World Heritage Site. Eleven qanats representing ancient water management systems.",https://whc.unesco.org/en/list/1506,Iran,2016
