Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
HIROSHIMA,Hiroshima Peace Memorial,UNESCO World Heritage Site (Cultural),Hiroshima,34.3955,132.4536,Hiroshima Peace Memorial - UNESCO World Heritage Site. Memorial to the victims of the atomic bombing of Hiroshima.,https://whc.unesco.org/en/list/775,Japan,1996
HIMEJI,Himeji-jo,UNESCO World Heritage Site (Cultural),Hyogo,34.8394,134.6939,Himeji Castle - UNESCO World Heritage Site. Finest surviving example of early 17th-century Japanese castle architecture.,https://whc.unesco.org/en/list/661,Japan,1993
KYOTO,Historic Monuments of Ancient Kyoto,UNESCO World Heritage Site (Cultural),"Kyoto, Shiga",35.0116,135.7681,"Historic Monuments of Ancient Kyoto - UNESCO World Heritage Site. Collection of 17 temples, shrines, and gardens.",https://whc.unesco.org/en/list/688,Japan,1994
NARA,Historic Monuments of Ancient Nara,UNESCO World Heritage Site (Cultural),Nara,34.6851,135.8047,"Historic Monuments of Ancient Nara - UNESCO World Heritage Site. Eight temples, shrines, and ruins from ancient capital.",https://whc.unesco.org/en/list/870,Japan,1998
NIKKO,Shrines and Temples of Nikko,UNESCO World Heritage Site (Cultural),Tochigi,36.7578,139.5994,Shrines and Temples of Nikko - UNESCO World Heritage Site. Complex of 103 religious buildings in a natural setting.,https://whc.unesco.org/en/list/913,Japan,1999
SHIRAKAWA,Historic Villages of Shirakawa-go and Gokayama,UNESCO World Heritage Site (Cultural),"Gifu, Toyama",36.2667,136.9000,Historic Villages of Shirakawa-go and Gokayama - UNESCO World Heritage Site. Traditional gassho-style farmhouses.,https://whc.unesco.org/en/list/734,Japan,1995
ITSukushima,Itsukushima Shrine,UNESCO World Heritage Site (Cultural),Hiroshima,34.2958,132.3197,Itsukushima Shrine - UNESCO World Heritage Site. Famous floating torii gate and Shinto shrine.,https://whc.unesco.org/en/list/776,Japan,1996
OKINAWA,Gusuku Sites and Related Properties of the Kingdom of Ryukyu,UNESCO World Heritage Site (Cultural),Okinawa,26.2167,127.6833,Gusuku Sites and Related Properties - UNESCO World Heritage Site. Ruins of Ryukyu Kingdom castles and sites.,https://whc.unesco.org/en/list/972,Japan,2000
TOKYO,Sites of Japan's Meiji Industrial Revolution,UNESCO World Heritage Site (Cultural),"Yamaguchi, Kagoshima, Nagasaki, Fukuoka, Saga, Kumamoto, Iwate, Shizuoka",33.5904,130.4017,Sites of Japan's Meiji Industrial Revolution - UNESCO World Heritage Site. Industrial heritage sites from Meiji period.,https://whc.unesco.org/en/list/1484,Japan,2015
MOUNTFUJI,"Fujisan, sacred place and source of artistic inspiration",UNESCO World Heritage Site (Cultural),"Yamanashi, Shizuoka",35.3606,138.7278,Mount Fuji - UNESCO World Heritage Site. Sacred mountain and source of artistic inspiration.,https://whc.unesco.org/en/list/1418,Japan,2013
YAKUSHIMA,Yakushima,UNESCO World Heritage Site (Natural),Kagoshima,30.3333,130.5000,Yakushima - UNESCO World Heritage Site. Island with ancient cedar forests and unique ecosystem.,https://whc.unesco.org/en/list/662,Japan,1993
SHIRAKAMI,Shirakami-Sanchi,UNESCO World Heritage Site (Natural),"Aomori, Akita",40.4667,140.1333,Shirakami-Sanchi - UNESCO World Heritage Site. Last remaining virgin beech forest in Japan.,https://whc.unesco.org/en/list/663,Japan,1993
SHIRETOKO,Shiretoko,UNESCO World Heritage Site (Natural),Hokkaido,44.1667,145.2500,Shiretoko - UNESCO World Heritage Site. Peninsula with diverse ecosystems and marine life.,https://whc.unesco.org/en/list/1193,Japan,2005
OGASAWARA,Ogasawara Islands,UNESCO World Heritage Site (Natural),Tokyo,27.0833,142.2167,Ogasawara Islands - UNESCO World Heritage Site. Remote islands with unique flora and fauna.,https://whc.unesco.org/en/list/1362,Japan,2011
