IATA,Name,City,State,Country,Latitude,Longitude
ATL,Hartsfield-Jackson Atlanta International,Atlanta,GA,United States,33.6407,-84.4277
LAX,Los Angeles International,Los Angeles,CA,United States,33.9425,-118.4081
ORD,O'Hare International,Chicago,IL,United States,41.9786,-87.9048
DFW,Dallas/Fort Worth International,Dallas,TX,United States,32.8969,-97.0381
DEN,Denver International,Denver,CO,United States,39.8617,-104.6731
JFK,John F. Kennedy International,New York,NY,United States,40.6413,-73.7781
SFO,San Francisco International,San Francisco,CA,United States,37.6213,-122.3790
SEA,Seattle-Tacoma International,Seattle,WA,United States,47.4502,-122.3088
LAS,McCarran International,Las Vegas,NV,United States,36.0840,-115.1537
MIA,Miami International,Miami,FL,United States,25.7959,-80.2870
CLT,Charlotte Douglas International,Charlotte,NC,United States,35.2144,-80.9473
PHX,Phoenix Sky Harbor International,Phoenix,AZ,United States,33.4342,-112.0116
EWR,Newark Liberty International,Newark,NJ,United States,40.6895,-74.1745
IAH,George Bush Intercontinental,Houston,TX,United States,29.9902,-95.3368
MCO,Orlando International,Orlando,FL,United States,28.4312,-81.3083
MSP,Minneapolis-Saint Paul International,Minneapolis,MN,United States,44.8848,-93.2223
DTW,Detroit Metropolitan,Detroit,MI,United States,42.2162,-83.3554
PHL,Philadelphia International,Philadelphia,PA,United States,39.8719,-75.2411
LGA,LaGuardia,New York,NY,United States,40.7769,-73.8740
BWI,Baltimore/Washington International,Baltimore,MD,United States,39.1774,-76.6684
SLC,Salt Lake City International,Salt Lake City,UT,United States,40.7899,-111.9791
DCA,Ronald Reagan Washington National,Washington,DC,United States,38.8512,-77.0402
MDW,Chicago Midway International,Chicago,IL,United States,41.7868,-87.7522
HNL,Daniel K. Inouye International,Honolulu,HI,United States,21.3206,-157.9242
ANC,Ted Stevens Anchorage International,Anchorage,AK,United States,61.1743,-149.9962
BOS,Logan International,Boston,MA,United States,42.3656,-71.0096
IAD,Washington Dulles International,Washington,VA,United States,38.9531,-77.4565
FLL,Fort Lauderdale-Hollywood International,Fort Lauderdale,FL,United States,26.0726,-80.1528
PDX,Portland International,Portland,OR,United States,45.5898,-122.5951
STL,St. Louis Lambert International,St. Louis,MO,United States,38.7487,-90.3700
SAN,San Diego International,San Diego,CA,United States,32.7338,-117.1933
TPA,Tampa International,Tampa,FL,United States,27.9755,-82.5332
BNA,Nashville International,Nashville,TN,United States,36.1245,-86.6782
AUS,Austin-Bergstrom International,Austin,TX,United States,30.1945,-97.6699
OAK,Oakland International,Oakland,CA,United States,37.7213,-122.2207
MSY,Louis Armstrong New Orleans International,New Orleans,LA,United States,29.9934,-90.2581
RDU,Raleigh-Durham International,Raleigh,NC,United States,35.8776,-78.7875
CLE,Cleveland Hopkins International,Cleveland,OH,United States,41.4117,-81.8498
IND,Indianapolis International,Indianapolis,IN,United States,39.7173,-86.2944
CMH,John Glenn Columbus International,Columbus,OH,United States,39.9980,-82.8919
MCI,Kansas City International,Kansas City,MO,United States,39.2976,-94.7139
SJC,Norman Y. Mineta San Jose International,San Jose,CA,United States,37.3626,-121.9290
SMF,Sacramento International,Sacramento,CA,United States,38.6954,-121.5908
PIT,Pittsburgh International,Pittsburgh,PA,United States,40.4915,-80.2329
MKE,General Mitchell International,Milwaukee,WI,United States,42.9472,-87.8966
BUF,Buffalo Niagara International,Buffalo,NY,United States,42.9405,-78.7322
JAX,Jacksonville International,Jacksonville,FL,United States,30.4941,-81.6879
BUR,Hollywood Burbank,Burbank,CA,United States,34.2006,-118.3587
ABQ,Albuquerque International Sunport,Albuquerque,NM,United States,35.0402,-106.6092
BOI,Boise Airport,Boise,ID,United States,43.5644,-116.2228
OGG,Kahului Airport,Kahului,HI,United States,20.8986,-156.4306
YYZ,Toronto Pearson International,Toronto,ON,Canada,43.6772,-79.6306
YVR,Vancouver International,Vancouver,BC,Canada,49.1947,-123.1792
YUL,Montréal-Pierre Elliott Trudeau International,Montreal,QC,Canada,45.4577,-73.7497
YYC,Calgary International,Calgary,AB,Canada,51.1215,-114.0076
YEG,Edmonton International,Edmonton,AB,Canada,53.3097,-113.5797
YOW,Ottawa Macdonald-Cartier International,Ottawa,ON,Canada,45.3225,-75.6692
YHZ,Halifax Stanfield International,Halifax,NS,Canada,44.8808,-63.5086
YWG,Winnipeg James Armstrong Richardson International,Winnipeg,MB,Canada,49.9100,-97.2399
YQB,Québec City Jean Lesage International,Quebec City,QC,Canada,46.7911,-71.3933
YQR,Regina International,Regina,SK,Canada,50.4319,-104.6658
YQT,Thunder Bay International,Thunder Bay,ON,Canada,48.3719,-89.3239
YFC,Fredericton International,Fredericton,NB,Canada,45.8689,-66.5372
YXY,Erik Nielsen Whitehorse International,Whitehorse,YT,Canada,60.7096,-135.0673
YFB,Iqaluit Airport,Iqaluit,NU,Canada,63.7567,-68.5558
DEL,Indira Gandhi International,New Delhi,Delhi,India,28.5562,77.1000
BOM,Chhatrapati Shivaji Maharaj International,Mumbai,Maharashtra,India,19.0896,72.8656
CCU,Netaji Subhas Chandra Bose International,Kolkata,West Bengal,India,22.6547,88.4467
MAA,Chennai International,Chennai,Tamil Nadu,India,12.9944,80.1806
BLR,Kempegowda International,Bangalore,Karnataka,India,13.1986,77.7066
HYD,Rajiv Gandhi International,Hyderabad,Telangana,India,17.2403,78.4294
COK,Cochin International,Kochi,Kerala,India,9.9312,76.2673
AMD,Sardar Vallabhbhai Patel International,Ahmedabad,Gujarat,India,23.0772,72.5717
GOI,Dabolim Airport,Goa,Goa,India,15.3808,73.8314
GAU,Lokpriya Gopinath Bordoloi International,Guwahati,Assam,India,26.1061,91.5859
LKO,Chaudhary Charan Singh International,Lucknow,Uttar Pradesh,India,26.7606,80.8893
JAI,Jaipur International,Jaipur,Rajasthan,India,26.8242,75.8017
TRV,Trivandrum International,Thiruvananthapuram,Kerala,India,8.4821,76.9200
BBI,Biju Patnaik International,Bhubaneswar,Odisha,India,20.2444,85.8178
IXC,Shaheed Bhagat Singh International,Chandigarh,Chandigarh,India,30.6735,76.7885
IXB,Bagdogra Airport,Bagdogra,West Bengal,India,26.6812,88.3286
IXR,Birsa Munda Airport,Ranchi,Jharkhand,India,23.3142,85.3217
VNS,Lal Bahadur Shastri International,Varanasi,Uttar Pradesh,India,25.4484,82.8592
SXR,Sheikh ul-Alam International,Srinagar,Jammu and Kashmir,India,33.9871,74.7742
ATQ,Sri Guru Ram Dass Jee International,Amritsar,Punjab,India,31.7096,74.7973
IXE,Mangalore International,Mangalore,Karnataka,India,12.9612,74.8902
NAG,Dr. Babasaheb Ambedkar International,Nagpur,Maharashtra,India,21.0922,79.0472
IXZ,Veer Savarkar International,Port Blair,Andaman and Nicobar Islands,India,11.6410,92.7297
TIR,Tirupati Airport,Tirupati,Andhra Pradesh,India,13.6325,79.5433
VGA,Vijayawada International,Vijayawada,Andhra Pradesh,India,16.5304,80.7968
CDP,Kadapa Airport,Kadapa,Andhra Pradesh,India,14.5100,78.7728
RJA,Rajahmundry Airport,Rajahmundry,Andhra Pradesh,India,17.1104,81.8182
VTZ,Visakhapatnam International,Visakhapatnam,Andhra Pradesh,India,17.7211,83.2245
IXA,Agartala Airport,Agartala,Tripura,India,23.8870,91.2404
IXI,Lilabari Airport,Lilabari,Assam,India,27.2955,94.0976
IXS,Silchar Airport,Silchar,Assam,India,24.9129,92.9787
IXD,Bamrauli Airport,Allahabad,Uttar Pradesh,India,25.4401,81.7339
IXW,Sonari Airport,Jamshedpur,Jharkhand,India,22.8132,86.1688
PAT,Jay Prakash Narayan Airport,Patna,Bihar,India,25.5913,85.0879
IXJ,Jammu Airport,Jammu,Jammu and Kashmir,India,32.6891,74.8374
IXL,Kushok Bakula Rimpochee Airport,Leh,Ladakh,India,34.1359,77.5465
DED,Jolly Grant Airport,Dehradun,Uttarakhand,India,30.1897,78.1803
PGH,Pantnagar Airport,Pantnagar,Uttarakhand,India,29.0334,79.4737
HDO,Hindon Airport,Ghaziabad,Uttar Pradesh,India,28.7070,77.3586
AGR,Agra Airport,Agra,Uttar Pradesh,India,27.1558,77.9609
KNU,Kanpur Airport,Kanpur,Uttar Pradesh,India,26.4414,80.3649
GOP,Gorakhpur Airport,Gorakhpur,Uttar Pradesh,India,26.7397,83.4497
DBR,Darbhanga Airport,Darbhanga,Bihar,India,26.1928,85.9167
RUP,Rupsi Airport,Rupsi,Assam,India,26.1397,89.9106
IXT,Pasighat Airport,Pasighat,Arunachal Pradesh,India,28.0661,95.3356
TEI,Tezu Airport,Tezu,Arunachal Pradesh,India,27.9412,96.1344
SHL,Shillong Airport,Shillong,Meghalaya,India,25.7036,91.9787
AJL,Lengpui Airport,Aizawl,Mizoram,India,23.8406,92.6197
DMU,Dimapur Airport,Dimapur,Nagaland,India,25.8839,93.7711
PYG,Zero Airport,Along,Arunachal Pradesh,India,28.1753,94.8025
KJB,Kurnool Airport,Kurnool,Andhra Pradesh,India,15.7958,78.0661
CNN,Kannur International,Kannur,Kerala,India,11.9186,75.5472
CCJ,Calicut International,Kozhikode,Kerala,India,11.1368,75.9553
IMF,Imphal Airport,Imphal,Manipur,India,24.7600,93.8967
KBK,Kushinagar Airport,Kushinagar,Uttar Pradesh,India,26.7403,83.8881
SAG,Shirdi Airport,Shirdi,Maharashtra,India,19.6886,74.3778
GOX,Mopa Airport,Goa,Goa,India,15.7181,73.8081
AYJ,Ayodhya Airport,Ayodhya,Uttar Pradesh,India,26.7531,82.1547
STV,Surat Airport,Surat,Gujarat,India,21.1147,72.7417
PNQ,Pune Airport,Pune,Maharashtra,India,18.5822,73.9197
IXU,Aurangabad Airport,Aurangabad,Maharashtra,India,19.8627,75.3981
IDR,Devi Ahilya Bai Holkar Airport,Indore,Madhya Pradesh,India,22.7218,75.8011
BHO,Raja Bhoj Airport,Bhopal,Madhya Pradesh,India,23.2875,77.3374
RDP,Kazi Nazrul Islam Airport,Durgapur,West Bengal,India,23.6225,87.2431
