Park_Code,Name,Designation,States,Latitude,Longitude,Description,URL,Country,UNESCO_Year
HATTUSHA,Hattusha,UNESCO World Heritage Site (Cultural),Çorum,40.0167,34.6167,"Hattusha: the Hittite Capital - UNESCO World Heritage Site. Ancient capital of the Hittite Empire with well-preserved ruins.",https://whc.unesco.org/en/list/377,Turkey,1986
NEMRUT,Nemrut Dağ,UNESCO World Heritage Site (Cultural),Adıyaman,37.9806,38.7406,"Nemrut Dağ - UNESCO World Heritage Site. Mountaintop sanctuary with colossal statues from the 1st century BCE.",https://whc.unesco.org/en/list/448,Turkey,1987
XANTHOS,Xanthos-Letoon,UNESCO World Heritage Site (Cultural),Antalya,36.3572,29.3194,"Xanthos-Letoon - UNESCO World Heritage Site. Ancient Lycian cities with important archaeological remains.",https://whc.unesco.org/en/list/484,Turkey,1988
HIERAPOLIS,Hierapolis-Pamukkale,UNESCO World Heritage Site (Mixed),Denizli,37.9250,29.1250,"Hierapolis-Pamukkale - UNESCO World Heritage Site. Ancient spa city with white travertine terraces and thermal springs.",https://whc.unesco.org/en/list/485,Turkey,1988
SAFRANBOLU,City of Safranbolu,UNESCO World Heritage Site (Cultural),Karabük,41.2500,32.6833,"City of Safranbolu - UNESCO World Heritage Site. Well-preserved Ottoman town with traditional architecture.",https://whc.unesco.org/en/list/614,Turkey,1994
TROY,Archaeological Site of Troy,UNESCO World Heritage Site (Cultural),Çanakkale,39.9572,26.2389,"Archaeological Site of Troy - UNESCO World Heritage Site. Ancient city famous from Homer's Iliad.",https://whc.unesco.org/en/list/849,Turkey,1998
SELIMIYE,Selimiye Mosque,UNESCO World Heritage Site (Cultural),Edirne,41.6778,26.5564,"Selimiye Mosque and its Social Complex - UNESCO World Heritage Site. Masterpiece of Ottoman architecture by Mimar Sinan.",https://whc.unesco.org/en/list/1366,Turkey,2011
CATALHOYUK,Neolithic Site of Çatalhöyük,UNESCO World Heritage Site (Cultural),Konya,37.6667,32.8333,"Neolithic Site of Çatalhöyük - UNESCO World Heritage Site. One of the most important Neolithic settlements in the world.",https://whc.unesco.org/en/list/1405,Turkey,2012
BERGAMA,Pergamon,UNESCO World Heritage Site (Cultural),İzmir,39.1306,27.1842,"Pergamon and its Multi-Layered Cultural Landscape - UNESCO World Heritage Site. Ancient Greek city with impressive ruins.",https://whc.unesco.org/en/list/1457,Turkey,2014
BURSA,Bursa and Cumalıkızık,UNESCO World Heritage Site (Cultural),Bursa,40.1833,29.0667,"Bursa and Cumalıkızık: the Birth of the Ottoman Empire - UNESCO World Heritage Site. Early Ottoman capital with traditional village.",https://whc.unesco.org/en/list/1452,Turkey,2014
EPHESUS,Ephesus,UNESCO World Heritage Site (Cultural),İzmir,37.9397,27.3406,"Ephesus - UNESCO World Heritage Site. One of the best-preserved ancient cities in the Mediterranean.",https://whc.unesco.org/en/list/1018,Turkey,2015
DIVRIGI,Great Mosque and Hospital of Divriği,UNESCO World Heritage Site (Cultural),Sivas,39.3708,38.1208,"Great Mosque and Hospital of Divriği - UNESCO World Heritage Site. Unique Seljuk architecture with intricate stone carvings.",https://whc.unesco.org/en/list/358,Turkey,1985
GOREME,Göreme National Park,UNESCO World Heritage Site (Mixed),Nevşehir,38.6431,34.8350,"Göreme National Park and the Rock Sites of Cappadocia - UNESCO World Heritage Site. Unique rock formations and cave dwellings.",https://whc.unesco.org/en/list/357,Turkey,1985
ISTANBUL,Historic Areas of Istanbul,UNESCO World Heritage Site (Cultural),Istanbul,41.0086,28.9803,"Historic Areas of Istanbul - UNESCO World Heritage Site. Historic peninsula with Hagia Sophia, Blue Mosque, and Topkapi Palace.",https://whc.unesco.org/en/list/356,Turkey,1985
DIYARBAKIR,Diyarbakır Fortress,UNESCO World Heritage Site (Cultural),Diyarbakır,37.9139,40.2306,"Diyarbakır Fortress and Hevsel Gardens Cultural Landscape - UNESCO World Heritage Site. Ancient fortress and gardens.",https://whc.unesco.org/en/list/1488,Turkey,2015
ANİ,Archaeological Site of Ani,UNESCO World Heritage Site (Cultural),Kars,40.5000,43.5667,"Archaeological Site of Ani - UNESCO World Heritage Site. Medieval Armenian city with impressive ruins.",https://whc.unesco.org/en/list/1518,Turkey,2016
APHRODISIAS,Aphrodisias,UNESCO World Heritage Site (Cultural),Aydın,37.7083,28.7236,"Aphrodisias - UNESCO World Heritage Site. Ancient Greek city dedicated to the goddess Aphrodite.",https://whc.unesco.org/en/list/1519,Turkey,2017
GÖBEKLİ,Göbekli Tepe,UNESCO World Heritage Site (Cultural),Şanlıurfa,37.2231,38.9225,"Göbekli Tepe - UNESCO World Heritage Site. Prehistoric temple complex dating back 11,000 years.",https://whc.unesco.org/en/list/1572,Turkey,2018
ARSLANTEPE,Arslantepe Mound,UNESCO World Heritage Site (Cultural),Malatya,38.3833,38.3667,"Arslantepe Mound - UNESCO World Heritage Site. Archaeological site with evidence of early state formation.",https://whc.unesco.org/en/list/1622,Turkey,2021
GORDION,Gordion,UNESCO World Heritage Site (Cultural),Ankara,39.6500,31.9833,"Gordion - UNESCO World Heritage Site. Ancient Phrygian capital associated with King Midas.",https://whc.unesco.org/en/list/1669,Turkey,2023
